"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "LOC_column" "transcript" "database" "uniprot_accession" "geneID" "species" "pident" "length" "mismatch" "gapopen" "qstart" "qend" "sstart" "send" "evalue" "bitscore" "reviewed" "entryname" "protein_name" "gene_name" "organism" "prot_length" "GO_ID" "GO_BP" "GO_MF" "GO_CC" "Genename_orderedlocus" "Induction" "Pathwaycommons" "Reactome" "Unipathway" "Interacts_with"
"gene-LOC134689642|LOC134689642" 95.3614164838387 -0.175571161433635 0.340850835212985 0.00165289455294689 0.04621093084131 "LOC134689642" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134720663|LOC134720663" 59.5589357662711 1.25094041743102 0.227480894114458 2.17361173496536e-09 1.97907348468596e-06 "LOC134720663" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134726044|LOC134726044" 24.9701597610977 -0.624077708946479 0.289340579445185 0.00173363176365721 0.0469433969014093 "LOC134726044" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134691216|LOC134691216" 16.0575677725301 -1.03080183545741 0.451546422899657 0.000838095310914416 0.0333589412278722 "LOC134691216" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134685237|LOC134685237" 31.9058347651549 0.846374061136847 0.330403808982247 0.000483030393943555 0.0242647819964473 "LOC134685237" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134721575|LOC134721575" 14.8484404910721 0.985209941239003 0.385358962652533 0.000462909540974943 0.0237453034962076 "LOC134721575" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134696041|LOC134696041" 11.6893369903758 -2.14100204151832 0.787070588210751 0.000201649231262967 0.0138157487694927 "LOC134696041" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134711424|LOC134711424" 23.8228302238611 -0.679121104228234 0.218554880711729 0.000120770109937872 0.0107279204974081 "LOC134711424" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134714925|LOC134714925" 19.0070139536496 -1.11982695406755 0.357253012377613 7.68175979733435e-05 0.00766492306353197 "LOC134714925" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134683219|LOC134683219" 13.0124029778038 -0.0310858798904257 0.158460575548599 0.00119980102645918 0.039880231698633 "LOC134683219" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134693121|LOC134693121" 126.90580142745 1.01800514634535 0.301775684097532 3.64189379276494e-05 0.00482319170663634 "LOC134693121" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134687086|LOC134687086" 37.9085976384746 0.569631898866481 0.240971525025341 0.00121868733736583 0.039880231698633 "LOC134687086" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134685466|LOC134685466" 17.8694364923974 -0.9079889987315 0.372704218738906 0.000629715627538617 0.0284915056443526 "LOC134685466" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134707589|LOC134707589" 21.6951329551274 -0.744525128852485 0.324503835058934 0.00104960229063027 0.0371131217716063 "LOC134707589" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134692032|LOC134692032" 9.85986624884719 -1.40614999714194 0.618033358716529 0.000717303864815924 0.0300278238581563 "LOC134692032" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134724944|LOC134724944" 51.7375019506479 -1.32609839876841 0.461803020501407 0.000142863892203268 0.0115624510089844 "LOC134724944" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134701485|LOC134701485" 18.1599507432702 0.808506687434604 0.282129210651728 0.000219338316345182 0.0142648240737349 "LOC134701485" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134708016|LOC134708016" 26.1808968154952 -0.836920652432796 0.3867413879791 0.00122275688637501 0.039880231698633 "LOC134708016" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"gene-LOC134720609|LOC134720609" 23.5243856275327 -1.11107821845197 0.521000316104248 0.000953189874892893 0.0359685809054153 "LOC134720609" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
